Dates,price
2011-01-01,2067
2011-02-01,1987
2011-03-01,2089
2011-04-01,2068
2011-05-01,2224
2011-06-01,2231
2011-07-01,2187
2011-08-01,2300
2011-09-01,2717
2011-10-01,2601
2011-11-01,2710
2011-12-01,2888
2012-01-01,2732
2012-02-01,2804
2012-03-01,2779
2012-04-01,2801
2012-05-01,2912
2012-06-01,2885
2012-07-01,2967
2012-08-01,2957
2012-09-01,3122
2012-10-01,3099
2012-11-01,3094
2012-12-01,3107
2013-01-01,3083
2013-02-01,2986
2013-03-01,2950
2013-04-01,2941
2013-05-01,2639
2013-06-01,2679
2013-07-01,2561
2013-08-01,2807
2013-09-01,3298
2013-10-01,2951
2013-11-01,2977
2013-12-01,3022
2014-01-01,2839
2014-02-01,2944
2014-03-01,3008
2014-04-01,2815
2014-05-01,2854
2014-06-01,2690
2014-07-01,2781
2014-08-01,2782
2014-09-01,2792
2014-10-01,2685
2014-11-01,2614
2014-12-01,2533
2015-01-01,2668
2015-02-01,2795
2015-03-01,2648
2015-04-01,2617
2015-05-01,2655
2015-06-01,2672
2015-07-01,2641
2015-08-01,2485
2015-09-01,2667
2015-10-01,2575
2015-11-01,2649
2015-12-01,2502
2016-01-01,2491
2016-02-01,2663
2016-03-01,2951
2016-04-01,2800
2016-05-01,3027
2016-06-01,2854
2016-07-01,3120
2016-08-01,3141
2016-09-01,3064
2016-10-01,3074
2016-11-01,2995
2016-12-01,2800
2017-01-01,2745
2017-02-01,2882
2017-03-01,2929
2017-04-01,2846
2017-05-01,2880
2017-06-01,2862
2017-07-01,2844
2017-08-01,2840
2017-09-01,2972
2017-10-01,2956
2017-11-01,2911
2017-12-01,2901
2018-01-01,2911
2018-02-01,3007
2018-03-01,3015
2018-04-01,3041
2018-05-01,3088
2018-06-01,3052
2018-07-01,3043
2018-08-01,2941
2018-09-01,3014
2018-10-01,3038
2018-11-01,3027
2018-12-01,3026
2019-01-01,3137
2019-02-01,3298
2019-03-01,3269
2019-04-01,3151
2019-05-01,3167
2019-06-01,3207
2019-07-01,3365
2019-08-01,3430
2019-09-01,3866
2019-10-01,3681
2019-11-01,3831
2019-12-01,3803
2020-01-01,3904
2020-02-01,4102
2020-03-01,4130
2020-04-01,4308
2020-05-01,4475
2020-06-01,4656
2020-07-01,4819
2020-08-01,5385
2020-09-01,5153
2020-10-01,5030
2020-11-01,5070
2020-12-01,4771
2021-01-01,5009
2021-02-01,4720
2021-03-01,4565
2021-04-01,4463
2021-05-01,4675
2021-06-01,4871
2021-07-01,4683
2021-08-01,4788
2021-09-01,4704
2021-10-01,4618
2021-11-01,4761
2021-12-01,4760
