,Dates,Price
0,01-01-2011,"1,961"
1,02-01-2011,"1,961"
2,03-01-2011,"1,960"
3,04-01-2011,"1,957"
4,05-01-2011,"1,991"
5,06-01-2011,"1,977"
6,07-01-2011,"1,979"
7,08-01-2011,"2,006"
8,09-01-2011,"2,006"
9,10-01-2011,"2,006"
10,11-01-2011,"2,011"
11,12-01-2011,"2,036"
12,13-01-2011,"2,033"
13,14-01-2011,"2,025"
14,15-01-2011,"2,026"
15,16-01-2011,"2,031"
16,17-01-2011,"2,030"
17,18-01-2011,"2,039"
18,19-01-2011,"2,040"
19,20-01-2011,"2,037"
20,21-01-2011,"2,040"
21,22-01-2011,"2,024"
22,23-01-2011,"2,024"
23,24-01-2011,"2,024"
24,25-01-2011,"2,035"
25,26-01-2011,"2,040"
26,27-01-2011,"2,046"
27,28-01-2011,"2,076"
28,29-01-2011,"2,069"
29,30-01-2011,"2,069"
30,31-01-2011,"2,067"
31,01-02-2011,"2,085"
32,02-02-2011,"2,085"
33,03-02-2011,"2,085"
34,04-02-2011,"2,090"
35,05-02-2011,"2,074"
36,06-02-2011,"2,071"
37,07-02-2011,"2,070"
38,08-02-2011,"2,055"
39,09-02-2011,"2,056"
40,10-02-2011,"1,976"
41,11-02-2011,"2,049"
42,12-02-2011,"2,047"
43,13-02-2011,"2,040"
44,14-02-2011,"2,029"
45,15-02-2011,"2,031"
46,16-02-2011,"2,042"
47,17-02-2011,"2,041"
48,18-02-2011,"2,035"
49,19-02-2011,"2,035"
50,20-02-2011,"2,018"
51,21-02-2011,"2,016"
52,22-02-2011,"2,004"
53,23-02-2011,"2,004"
54,24-02-2011,"2,002"
55,25-02-2011,"1,974"
56,26-02-2011,"1,975"
57,27-02-2011,"1,978"
58,28-02-2011,"1,987"
59,01-03-2011,"2,067"
60,02-03-2011,"2,062"
61,03-03-2011,"2,069"
62,04-03-2011,"2,077"
63,05-03-2011,"2,086"
64,06-03-2011,"2,086"
65,07-03-2011,"2,085"
66,08-03-2011,"2,091"
67,09-03-2011,"2,089"
68,10-03-2011,"2,096"
69,11-03-2011,"2,084"
70,12-03-2011,"2,085"
71,13-03-2011,"2,080"
72,14-03-2011,"2,060"
73,15-03-2011,"2,058"
74,16-03-2011,"2,061"
75,17-03-2011,"2,090"
76,18-03-2011,"2,086"
77,19-03-2011,"2,086"
78,20-03-2011,"2,086"
79,21-03-2011,"2,083"
80,22-03-2011,"2,099"
81,23-03-2011,"2,097"
82,24-03-2011,"2,103"
83,25-03-2011,"2,088"
84,26-03-2011,"2,088"
85,27-03-2011,"2,087"
86,28-03-2011,"2,086"
87,29-03-2011,"2,097"
88,30-03-2011,"2,087"
89,31-03-2011,"2,089"
90,01-04-2011,"2,223"
91,02-04-2011,"2,217"
92,03-04-2011,"2,191"
93,04-04-2011,"2,187"
94,05-04-2011,"2,191"
95,06-04-2011,"2,189"
96,07-04-2011,"2,189"
97,08-04-2011,"2,189"
98,09-04-2011,"2,185"
99,10-04-2011,"2,176"
100,11-04-2011,"2,179"
101,12-04-2011,"2,157"
102,13-04-2011,"2,149"
103,14-04-2011,"2,149"
104,15-04-2011,"2,147"
105,16-04-2011,"2,126"
106,17-04-2011,"2,126"
107,18-04-2011,"2,129"
108,19-04-2011,"2,129"
109,20-04-2011,"2,130"
110,21-04-2011,"2,130"
111,22-04-2011,"2,123"
112,23-04-2011,"2,114"
113,24-04-2011,"2,116"
114,25-04-2011,"2,095"
115,26-04-2011,"2,071"
116,27-04-2011,"2,066"
117,28-04-2011,"2,070"
118,29-04-2011,"2,068"
119,30-04-2011,"2,068"
120,01-05-2011,"2,242"
